rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,19,10,1010,11.2,0,1,1,0,0,0,4,0,0.8,0.8,1.4,2.3,21,59,53,0.00,0.09,0.09,0.00,0.09,0.07,0.13,0.20,0.07,0.20,Matches
43,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,27,1994,36,22,1870,20.8,6,1,7,5,1,1,9,1,4.3,3.5,1.6,5.2,32,47,117,0.29,0.05,0.34,0.24,0.29,0.21,0.08,0.29,0.17,0.25,Matches
44,Iddrisu Baba,gh GHA,MF,Mallorca,25,1996,26,23,1934,21.5,1,0,1,1,0,0,9,0,1.4,1.4,0.6,2.0,14,73,6,0.05,0.00,0.05,0.05,0.05,0.06,0.03,0.09,0.06,0.09,Matches
45,Carlos Bacca,co COL,FW,Granada,34,1986,17,4,513,5.7,0,1,1,0,0,0,3,0,0.9,0.9,1.3,2.2,7,10,20,0.00,0.18,0.18,0.00,0.18,0.15,0.23,0.38,0.15,0.38,Matches
46,Édgar Badía,es ESP,GK,Elche,29,1992,24,24,2160,24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
47,Miguel Baeza,es ESP,DF,Celta Vigo,21,2000,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
48,Alejandro Balde,es ESP,"DF,FW",Barcelona,17,2003,5,2,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,9,7,23,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
49,Gareth Bale,wls WAL,FW,Real Madrid,32,1989,5,4,280,3.1,1,0,1,1,0,0,2,0,1.2,1.2,0.1,1.3,6,8,10,0.32,0.00,0.32,0.32,0.32,0.39,0.03,0.42,0.39,0.42,Matches
50,Mikel Balenziaga,es ESP,DF,Athletic Club,33,1988,26,23,2027,22.5,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,29,68,66,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Iván Balliu,al ALB,DF,Rayo Vallecano,29,1992,35,35,3147,35.0,1,2,3,1,0,0,10,1,0.9,0.9,3.5,4.4,84,134,132,0.03,0.06,0.09,0.03,0.09,0.02,0.10,0.13,0.02,0.13,Matches
52,Barbero,es ESP,"FW,MF",Osasuna,22,1998,6,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
53,Barcia,es ESP,DF,Granada,20,2000,1,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
54,Enis Bardhi,mk MKD,"MF,FW",Levante,26,1995,30,17,1701,18.9,3,3,6,1,2,2,3,0,3.9,2.2,3.0,5.3,41,103,105,0.16,0.16,0.32,0.05,0.21,0.20,0.16,0.37,0.12,0.28,Matches
55,Keidi Bare,al ALB,MF,Espanyol,23,1997,25,18,1481,16.5,1,1,2,1,0,0,9,0,0.3,0.3,0.5,0.8,20,67,15,0.06,0.06,0.12,0.06,0.12,0.02,0.03,0.05,0.02,0.05,Matches
56,Kike Barja,es ESP,"MF,FW",Osasuna,24,1997,21,9,865,9.6,2,0,2,2,0,0,2,0,1.5,1.5,0.5,2.0,34,35,92,0.21,0.00,0.21,0.21,0.21,0.16,0.05,0.21,0.16,0.21,Matches
57,Antonio Barragán,es ESP,DF,Elche,34,1987,16,12,1020,11.3,0,0,0,0,0,0,5,0,0.0,0.0,0.1,0.1,7,41,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
58,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19,2001,11,6,547,6.1,1,1,2,1,0,0,0,0,0.5,0.5,0.8,1.3,20,22,72,0.16,0.16,0.33,0.16,0.33,0.08,0.14,0.22,0.08,0.22,Matches
59,Marc Bartra,es ESP,DF,Betis,30,1991,23,23,1993,22.1,1,0,1,1,0,0,5,0,1.6,1.6,0.1,1.7,14,59,5,0.05,0.00,0.05,0.05,0.05,0.07,0.00,0.08,0.07,0.08,Matches
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,6,2,197,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,26,12,1179,13.1,0,0,0,0,0,0,4,0,0.4,0.4,0.1,0.5,19,41,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.04,0.03,0.04,Matches
62,Jon Bautista,es ESP,MF,Real Sociedad,26,1995,1,0,45,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Matches
63,Bebé,cv CPV,FW,Rayo Vallecano,31,1990,29,6,867,9.6,1,2,3,1,0,0,2,0,1.7,1.7,1.8,3.4,54,10,80,0.10,0.21,0.31,0.10,0.31,0.17,0.18,0.36,0.17,0.36,Matches
64,Héctor Bellerín,es ESP,DF,Betis,26,1995,23,22,1979,22.0,0,2,2,0,0,0,2,1,0.5,0.5,2.1,2.7,43,75,103,0.00,0.09,0.09,0.00,0.09,0.02,0.10,0.12,0.02,0.12,Matches
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,37,31,2597,28.9,1,0,1,1,0,0,4,0,0.4,0.4,0.3,0.7,18,131,22,0.03,0.00,0.03,0.03,0.03,0.01,0.01,0.02,0.01,0.02,Matches
66,Darío Benedetto,ar ARG,"FW,MF",Elche,31,1990,14,6,590,6.6,2,1,3,2,0,0,1,0,2.0,2.0,0.9,2.9,6,14,25,0.31,0.15,0.46,0.31,0.46,0.31,0.13,0.44,0.31,0.44,Matches
67,Iker Benito,es ESP,"FW,MF",Osasuna,18,2002,4,1,118,1.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,3,7,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,Matches
68,Pedro Benito,es ESP,FW,Cádiz,21,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,32,31,2593,28.8,27,12,39,20,7,11,0,0,23.7,15.1,7.9,23.0,88,177,252,0.94,0.42,1.35,0.69,1.11,0.83,0.28,1.10,0.52,0.80,Matches
70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,14,11,1015,11.3,1,2,3,1,0,0,3,0,0.4,0.4,1.2,1.5,33,64,46,0.09,0.18,0.27,0.09,0.27,0.03,0.10,0.14,0.03,0.14,Matches
71,Álex Berenguer,es ESP,MF,Athletic Club,26,1995,34,24,2168,24.1,3,6,9,3,0,1,8,0,5.2,4.5,5.4,9.9,59,77,202,0.12,0.25,0.37,0.12,0.37,0.22,0.23,0.44,0.19,0.41,Matches
72,Pedro Bigas,es ESP,DF,Elche,30,1990,19,19,1551,17.2,1,0,1,1,0,0,6,0,0.6,0.6,0.3,0.9,14,59,5,0.06,0.00,0.06,0.06,0.06,0.03,0.02,0.05,0.03,0.05,Matches
73,Antonio Blanco,es ESP,MF,Real Madrid,21,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31,31,2790,31.0,0,2,2,0,0,0,2,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.02,0.02,0.00,0.02,Matches
75,Lucas Boyé,ar ARG,FW,Elche,25,1996,24,22,1713,19.0,7,3,10,7,0,0,3,0,4.6,4.6,2.0,6.5,37,37,89,0.37,0.16,0.53,0.37,0.53,0.24,0.10,0.34,0.24,0.34,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,4,3,235,2.6,2,1,3,2,0,0,0,0,0.9,0.9,1.2,2.1,5,4,24,0.77,0.38,1.15,0.77,1.15,0.33,0.46,0.79,0.33,0.79,Matches
77,Darko Brašanac,rs SRB,MF,Osasuna,29,1992,35,27,2405,26.7,1,2,3,1,0,0,8,0,1.5,1.5,1.7,3.2,42,103,167,0.04,0.07,0.11,0.04,0.11,0.06,0.06,0.12,0.06,0.12,Matches
78,Claudio Bravo,cl CHI,GK,Betis,38,1983,17,17,1456,16.2,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,12,2,343,3.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,2,17,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Matches
80,Ante Budimir,hr CRO,FW,Osasuna,30,1991,28,20,1738,19.3,8,2,10,6,2,2,3,0,8.3,6.8,0.7,7.5,19,23,90,0.41,0.10,0.52,0.31,0.41,0.43,0.04,0.47,0.35,0.39,Matches
81,Sergio Busquets,es ESP,MF,Barcelona,33,1988,36,36,3198,35.5,2,0,2,2,0,0,12,0,0.6,0.6,1.7,2.3,24,291,36,0.06,0.00,0.06,0.06,0.06,0.02,0.05,0.07,0.02,0.07,Matches
82,Adrián Butzke,es ESP,FW,Granada,22,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
83,Erick Cabaco,uy URU,DF,Getafe,26,1995,10,5,403,4.5,0,1,1,0,0,0,4,1,0.1,0.1,0.4,0.5,3,13,1,0.00,0.22,0.22,0.00,0.22,0.01,0.09,0.10,0.01,0.10,Matches
84,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37,37,3330,37.0,2,0,2,2,0,0,7,0,1.1,1.1,0.7,1.8,5,107,5,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches
85,Martín Cáceres,uy URU,DF,Levante,34,1987,10,9,663,7.4,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,9,31,5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
86,Cala,es ESP,DF,Cádiz,31,1989,14,10,947,10.5,0,0,0,0,0,0,8,1,0.7,0.7,0.5,1.2,0,8,2,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches
87,Calderón,es ESP,DF,Betis,21,2000,1,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,2,4,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches
88,Fernando Calero,es ESP,DF,Espanyol,25,1995,16,13,1090,12.1,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,2,24,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
89,Víctor Camarasa,es ESP,"MF,FW",Betis,27,1994,7,0,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
90,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,26,13,1236,13.7,2,1,3,2,0,0,8,0,1.2,1.2,1.0,2.2,30,79,33,0.15,0.07,0.22,0.15,0.22,0.09,0.07,0.16,0.09,0.16,Matches
91,José Campaña,es ESP,MF,Levante,28,1993,20,16,1422,15.8,2,2,4,2,0,1,6,1,1.5,0.6,1.1,1.7,37,133,55,0.13,0.13,0.25,0.13,0.25,0.09,0.07,0.16,0.03,0.11,Matches
92,Sergio Canales,es ESP,"FW,MF",Betis,30,1991,34,33,2791,31.0,5,8,13,5,0,0,6,0,4.1,4.1,5.6,9.8,99,238,166,0.16,0.26,0.42,0.16,0.42,0.13,0.18,0.31,0.13,0.31,Matches
93,Álex Cantero,es ESP,"FW,MF",Levante,21,2000,25,4,610,6.8,0,1,1,0,0,0,1,0,2.2,2.2,0.4,2.6,14,14,45,0.00,0.15,0.15,0.00,0.15,0.32,0.06,0.38,0.32,0.38,Matches
94,Ander Capa,es ESP,DF,Athletic Club,29,1992,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.51,0.51,0.51,Matches
95,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,30,26,2290,25.4,1,1,2,1,0,0,9,0,0.5,0.5,0.5,1.1,44,134,29,0.04,0.04,0.08,0.04,0.08,0.02,0.02,0.04,0.02,0.04,Matches
96,Isaac Carcelen,es ESP,"DF,MF",Cádiz,28,1993,25,17,1544,17.2,0,1,1,0,0,0,2,0,0.4,0.4,0.5,0.9,29,62,32,0.00,0.06,0.06,0.00,0.06,0.02,0.03,0.05,0.02,0.05,Matches
97,Dani Cárdenas,es ESP,GK,Levante,24,1997,24,24,2160,24.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
98,Carlo,es ESP,MF,Villarreal,20,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
99,Diego Carlos,br BRA,DF,Sevilla,28,1993,34,34,2957,32.9,3,0,3,3,0,0,4,1,2.1,2.1,0.2,2.3,1,99,5,0.09,0.00,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07,Matches
100,Carmona,es ESP,DF,Sevilla,19,2002,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
101,Yannick Carrasco,be BEL,"FW,MF",Atlético Madrid,27,1993,34,28,2583,28.7,6,6,12,4,2,2,5,0,5.3,3.8,7.0,10.8,141,84,263,0.21,0.21,0.42,0.14,0.35,0.18,0.24,0.43,0.13,0.38,Matches
102,Guido Carrillo,ar ARG,FW,Elche,30,1991,29,11,1168,13.0,2,0,2,2,0,0,3,0,2.6,2.6,0.3,2.9,5,13,47,0.15,0.00,0.15,0.15,0.15,0.20,0.02,0.22,0.20,0.22,Matches
103,Dani Carvajal,es ESP,DF,Real Madrid,29,1992,24,17,1551,17.2,1,3,4,1,0,0,1,0,0.5,0.5,2.4,2.9,29,73,108,0.06,0.17,0.23,0.06,0.23,0.03,0.14,0.17,0.03,0.17,Matches
104,William Carvalho,pt POR,MF,Betis,29,1992,33,20,1805,20.1,2,3,5,2,0,0,6,0,3.1,3.1,1.5,4.6,39,163,39,0.10,0.15,0.25,0.10,0.25,0.16,0.07,0.23,0.16,0.23,Matches
105,Casemiro,br BRA,MF,Real Madrid,29,1992,32,31,2569,28.5,1,3,4,1,0,0,11,0,2.5,2.5,2.8,5.3,23,162,30,0.04,0.11,0.14,0.04,0.14,0.09,0.10,0.19,0.09,0.19,Matches
